日時,"内部CO2[ppm]","内部日射[kW m-2]","内部気温[C]","内部相対湿度[%]"
"2026/02/02 21:50:00",627,0,11.8,80
"2026/02/02 21:55:00",642,0,11.7,79
"2026/02/02 22:00:00",636,0,11.8,79
"2026/02/02 22:05:00",634,0,11.7,79
"2026/02/02 22:10:00",629,0,11.6,79
"2026/02/02 22:15:00",625,0,11.6,79
"2026/02/02 22:20:00",625,0,11.6,79
"2026/02/02 22:25:00",617,0,11.5,78
"2026/02/02 22:30:00",607,0,11.5,78
"2026/02/02 22:35:00",614,0,11.5,78
"2026/02/02 22:40:00",611,0,11.5,78
"2026/02/02 22:45:00",611,0,11.5,78
"2026/02/02 22:50:00",581,0,11.4,78
"2026/02/02 22:55:00",610,0,11.4,78
"2026/02/02 23:00:00",595,0,11.5,78
"2026/02/02 23:05:00",608,0,11.4,78
"2026/02/02 23:10:00",614,0,11.3,78
"2026/02/02 23:15:00",605,0,11.4,78
"2026/02/02 23:20:00",604,0,11.2,78
"2026/02/02 23:25:00",608,0,11.3,78
"2026/02/02 23:30:00",504,0,11.3,78
"2026/02/02 23:35:00",622,0,11.2,78
"2026/02/02 23:40:00",621,0,11.1,78
"2026/02/02 23:45:00",619,0,11.2,78
"2026/02/02 23:50:00",630,0,11.2,78
"2026/02/02 23:55:00",625,0,11.1,78
"2026/02/03 00:00:00",631,0,11.1,78
"2026/02/03 00:05:00",637,0,11,78
"2026/02/03 00:10:00",641,0,11.1,79
"2026/02/03 00:15:00",643,0,11,79
"2026/02/03 00:20:00",642,0,11.1,79
"2026/02/03 00:25:00",650,0,11,79
"2026/02/03 00:30:00",650,0,11.1,79
"2026/02/03 00:35:00",656,0,11,79
"2026/02/03 00:40:00",663,0,10.9,79
"2026/02/03 00:45:00",667,0,10.9,79
"2026/02/03 00:50:00",660,0,10.9,79
"2026/02/03 00:55:00",648,0,10.9,79
"2026/02/03 01:00:00",667,0,10.8,79
"2026/02/03 01:05:00",660,0,10.9,79
"2026/02/03 01:10:00",664,0,10.9,79
"2026/02/03 01:15:00",666,0,10.8,79
"2026/02/03 01:20:00",664,0,10.7,79
"2026/02/03 01:25:00",670,0,10.7,79
"2026/02/03 01:30:00",682,0,10.6,79
"2026/02/03 01:35:00",680,0,10.7,79
"2026/02/03 01:40:00",684,0,10.6,80
"2026/02/03 01:45:00",687,0,10.6,80
"2026/02/03 01:50:00",689,0,10.6,80
"2026/02/03 01:55:00",703,0,10.6,80
"2026/02/03 02:00:00",696,0,10.5,80
"2026/02/03 02:05:00",702,0,10.4,80
"2026/02/03 02:10:00",694,0,10.4,80
"2026/02/03 02:15:00",706,0,10.4,80
"2026/02/03 02:20:00",708,0,10.3,80
"2026/02/03 02:25:00",706,0,10.3,80
"2026/02/03 02:30:00",707,0,10.2,80
"2026/02/03 02:35:00",715,0,10.4,81
"2026/02/03 02:40:00",704,0,10.3,80
"2026/02/03 02:45:00",715,0,10.2,81
"2026/02/03 02:50:00",699,0,10.2,80
"2026/02/03 02:55:00",687,0,10.1,80
"2026/02/03 03:00:00",687,0,10.2,80
"2026/02/03 03:05:00",679,0,10.1,80
"2026/02/03 03:10:00",683,0,10.1,80
"2026/02/03 03:15:00",681,0,10,80
"2026/02/03 03:20:00",673,0,10.2,80
"2026/02/03 03:25:00",678,0,10,80
"2026/02/03 03:30:00",670,0,10,80
"2026/02/03 03:35:00",669,0,10,80
"2026/02/03 03:40:00",673,0,10,80
"2026/02/03 03:45:00",673,0,10,80
"2026/02/03 03:50:00",681,0,9.9,80
"2026/02/03 03:55:00",679,0,9.9,80
"2026/02/03 04:00:00",683,0,9.9,80
"2026/02/03 04:05:00",677,0,9.8,80
"2026/02/03 04:10:00",684,0,9.7,80
"2026/02/03 04:15:00",677,0,9.7,80
"2026/02/03 04:20:00",692,0,9.7,81
"2026/02/03 04:25:00",685,0,9.5,81
"2026/02/03 04:30:00",682,0,9.6,81
"2026/02/03 04:35:00",683,0,9.5,81
"2026/02/03 04:40:00",678,0,9.5,81
"2026/02/03 04:45:00",684,0,9.5,81
"2026/02/03 04:50:00",689,0,9.4,81
"2026/02/03 04:55:00",701,0,9.5,81
"2026/02/03 05:00:00",689,0,9.4,81
"2026/02/03 05:05:00",683,0,9.4,81
"2026/02/03 05:10:00",676,0,9.4,81
"2026/02/03 05:15:00",690,0,9.5,81
"2026/02/03 05:20:00",694,0,9.4,81
"2026/02/03 05:25:00",713,0,9.6,82
"2026/02/03 05:30:00",750,0,9.5,82
"2026/02/03 05:35:00",756,0,9.7,82
"2026/02/03 05:40:00",777,0,9.7,82
"2026/02/03 05:45:00",804,0,9.7,82
"2026/02/03 05:50:00",822,0,9.8,83
"2026/02/03 05:55:00",832,0,9.9,83
"2026/02/03 06:00:00",861,0,9.9,83
"2026/02/03 06:05:00",876,0,9.9,83
"2026/02/03 06:10:00",892,0,10.6,85
"2026/02/03 06:15:00",932,0,12,84
"2026/02/03 06:20:00",933,0,13.4,78
"2026/02/03 06:25:00",935,0,14.8,73
"2026/02/03 06:30:00",945,0,15.9,70
"2026/02/03 06:35:00",950,0,16.8,68
"2026/02/03 06:40:00",957,0,17.5,66
"2026/02/03 06:45:00",965,0.001,18.1,64
"2026/02/03 06:50:00",967,0.001,18.1,64
"2026/02/03 06:55:00",966,0.003,17.8,62
"2026/02/03 07:00:00",1001,0.004,17.8,62
"2026/02/03 07:05:00",992,0.005,17.9,62
"2026/02/03 07:10:00",1024,0.006,18.2,62
"2026/02/03 07:15:00",1059,0.006,18.4,61
"2026/02/03 07:20:00",1067,0.007,18.4,61
"2026/02/03 07:25:00",1063,0.008,17.5,62
"2026/02/03 07:30:00",1075,0.008,17,64
"2026/02/03 07:35:00",1095,0.009,17.7,63
"2026/02/03 07:40:00",1104,0.01,18.3,62
"2026/02/03 07:45:00",1114,0.011,17.6,63
"2026/02/03 07:50:00",1131,0.011,17,66
"2026/02/03 07:55:00",1136,0.013,17.7,66
"2026/02/03 08:00:00",1148,0.013,18.3,64
"2026/02/03 08:05:00",1150,0.021,17.8,65
"2026/02/03 08:10:00",1154,0.025,17.6,67
"2026/02/03 08:15:00",1161,0.023,18.6,67
"2026/02/03 08:20:00",1173,0.022,19.9,63
"2026/02/03 08:25:00",1179,0.023,20.5,62
"2026/02/03 08:30:00",1176,0.025,20.7,61
"2026/02/03 08:35:00",1193,0.026,20.6,63
"2026/02/03 08:40:00",1175,0.03,21.5,62
"2026/02/03 08:45:00",1169,0.03,22.4,61
"2026/02/03 08:50:00",1169,0.027,23,60
"2026/02/03 08:55:00",1170,0.024,23,61
"2026/02/03 09:00:00",1167,0.025,22.9,62
"2026/02/03 09:05:00",1164,0.026,22.9,63
"2026/02/03 09:10:00",1156,0.028,23.1,64
"2026/02/03 09:15:00",1137,0.029,23.4,65
"2026/02/03 09:20:00",1152,0.028,23.9,65
"2026/02/03 09:25:00",1147,0.027,24.4,66
"2026/02/03 09:30:00",1097,0.027,25.1,65
"2026/02/03 09:35:00",1109,0.027,25.5,64
"2026/02/03 09:40:00",1007,0.027,25.6,58
"2026/02/03 09:45:00",923,0.028,26,56
"2026/02/03 09:50:00",748,0.03,25.3,45
"2026/02/03 09:55:00",636,0.03,24.7,44
"2026/02/03 10:00:00",558,0.03,24.9,42
"2026/02/03 10:05:00",509,0.031,25.2,44
"2026/02/03 10:10:00",501,0.033,26.1,50
"2026/02/03 10:15:00",497,0.036,25.7,35
"2026/02/03 10:20:00",462,0.039,25.1,41
"2026/02/03 10:25:00",469,0.041,26,47
"2026/02/03 10:30:00",483,0.044,26.9,52
"2026/02/03 10:35:00",491,0.046,27,51
"2026/02/03 10:40:00",488,0.047,26.7,45
"2026/02/03 10:45:00",479,0.048,26.8,47
"2026/02/03 10:50:00",486,0.067,27,48
"2026/02/03 10:55:00",490,0.062,26.7,46
"2026/02/03 11:00:00",468,0.067,26.5,45
"2026/02/03 11:05:00",472,0.073,26.4,44
"2026/02/03 11:10:00",472,0.08,26.4,45
"2026/02/03 11:15:00",462,0.071,26.5,45
"2026/02/03 11:20:00",470,0.087,26.6,46
"2026/02/03 11:25:00",455,0.175,26.6,44
"2026/02/03 11:30:00",475,0.124,26.7,44
"2026/02/03 11:35:00",467,0.143,26.7,44
"2026/02/03 11:40:00",458,0.13,26.9,44
"2026/02/03 11:45:00",434,0.127,27,45
"2026/02/03 11:50:00",437,0.131,27,43
"2026/02/03 11:55:00",444,0.062,27.1,44
"2026/02/03 12:00:00",431,0.081,27.2,42
"2026/02/03 12:05:00",425,0.061,27.3,42
"2026/02/03 12:10:00",426,0.049,27.4,42
"2026/02/03 12:15:00",441,0.045,27.6,42
"2026/02/03 12:20:00",432,0.043,27.7,42
"2026/02/03 12:25:00",438,0.041,26.9,35
"2026/02/03 12:30:00",430,0.04,26.2,32
"2026/02/03 12:35:00",439,0.04,25.1,34
"2026/02/03 12:40:00",436,0.04,25,36
"2026/02/03 12:45:00",438,0.043,24.9,36
"2026/02/03 12:50:00",438,0.042,25.7,41
"2026/02/03 12:55:00",435,0.042,25.5,32
"2026/02/03 13:00:00",442,0.039,25.4,35
"2026/02/03 13:05:00",418,0.041,24.9,32
"2026/02/03 13:10:00",438,0.039,24.9,32
"2026/02/03 13:15:00",439,0.034,25.1,35
"2026/02/03 13:20:00",433,0.036,25,31
"2026/02/03 13:25:00",442,0.039,25.7,37
"2026/02/03 13:30:00",416,0.041,26.6,41
"2026/02/03 13:35:00",439,0.039,26.7,32
"2026/02/03 13:40:00",450,0.041,26.1,32
"2026/02/03 13:45:00",444,0.045,25.8,35
"2026/02/03 13:50:00",452,0.046,25.8,35
"2026/02/03 13:55:00",451,0.068,26,37
"2026/02/03 14:00:00",439,0.058,26.5,37
"2026/02/03 14:05:00",451,0.045,26.3,34
"2026/02/03 14:10:00",449,0.125,26.2,38
"2026/02/03 14:15:00",442,0.057,26.7,44
"2026/02/03 14:20:00",440,0.049,27,46
"2026/02/03 14:25:00",431,0.046,27.1,47
"2026/02/03 14:30:00",447,0.044,26.4,33
"2026/02/03 14:35:00",448,0.041,26.1,36
"2026/02/03 14:40:00",436,0.036,26.6,40
"2026/02/03 14:45:00",435,0.036,26.6,35
"2026/02/03 14:50:00",450,0.038,26.7,37
"2026/02/03 14:55:00",431,0.038,27,42
"2026/02/03 15:00:00",444,0.039,27,46
"2026/02/03 15:05:00",436,0.036,27.1,48
"2026/02/03 15:10:00",449,0.053,26.9,37
"2026/02/03 15:15:00",450,0.063,26.1,34
"2026/02/03 15:20:00",450,0.041,25.2,35
"2026/02/03 15:25:00",436,0.033,25,39
"2026/02/03 15:30:00",452,0.029,24.9,38
"2026/02/03 15:35:00",452,0.03,24.3,36
"2026/02/03 15:40:00",453,0.029,24.1,39
"2026/02/03 15:45:00",446,0.027,24.6,43
"2026/02/03 15:50:00",444,0.024,24.5,48
"2026/02/03 15:55:00",453,0.022,24.6,52
"2026/02/03 16:00:00",443,0.02,24.3,55
"2026/02/03 16:05:00",432,0.018,24.2,57
"2026/02/03 16:10:00",436,0.016,24.1,58
"2026/02/03 16:15:00",435,0.014,23.8,59
"2026/02/03 16:20:00",430,0.013,23.4,60
"2026/02/03 16:25:00",439,0.011,22.8,60
"2026/02/03 16:30:00",436,0.009,22.3,62
"2026/02/03 16:35:00",439,0.007,21.2,63
"2026/02/03 16:40:00",442,0.006,20.3,65
"2026/02/03 16:45:00",443,0.005,19.3,66
"2026/02/03 16:50:00",446,0.004,18.5,67
"2026/02/03 16:55:00",448,0.003,17.7,68
"2026/02/03 17:00:00",458,0.002,16.9,70
"2026/02/03 17:05:00",461,0.001,16.2,71
"2026/02/03 17:10:00",461,0.001,15.7,72
"2026/02/03 17:15:00",468,0,15.2,73
"2026/02/03 17:20:00",479,0,14.6,73
"2026/02/03 17:25:00",484,0,14.2,74
"2026/02/03 17:30:00",491,0,13.8,75
"2026/02/03 17:35:00",494,0,13.4,76
"2026/02/03 17:40:00",488,0,13,76
"2026/02/03 17:45:00",505,0,12.7,77
"2026/02/03 17:50:00",503,0,12.5,77
"2026/02/03 17:55:00",510,0,12.2,78
"2026/02/03 18:00:00",517,0,12,78
"2026/02/03 18:05:00",528,0,11.8,79
"2026/02/03 18:10:00",511,0,11.8,78
"2026/02/03 18:15:00",515,0,11.8,78
"2026/02/03 18:20:00",520,0,12,78
"2026/02/03 18:25:00",520,0,12,79
"2026/02/03 18:30:00",521,0,12.1,79
"2026/02/03 18:35:00",523,0,12.3,80
"2026/02/03 18:40:00",537,0,12.2,80
"2026/02/03 18:45:00",526,0,12.3,80
"2026/02/03 18:50:00",538,0,12.2,80
